station_line_id,station_id,line_id,is_interchange,effective_from,effective_to,created_at
1,1,5,t,2017-01-01,,2026-05-29 15:27:34.922068
2,1,11,t,2017-01-01,,2026-05-29 15:27:34.922068
3,2,3,t,2017-01-01,,2026-05-29 15:27:34.922068
4,2,6,t,2017-01-01,,2026-05-29 15:27:34.922068
5,2,9,t,2017-01-01,,2026-05-29 15:27:34.922068
6,3,3,t,2017-01-01,,2026-05-29 15:27:34.922068
7,3,9,t,2017-01-01,,2026-05-29 15:27:34.922068
8,4,5,t,2017-01-01,,2026-05-29 15:27:34.922068
9,4,6,t,2017-01-01,,2026-05-29 15:27:34.922068
10,5,11,f,2017-01-01,,2026-05-29 15:27:34.922068
11,6,9,f,2017-01-01,,2026-05-29 15:27:34.922068
12,7,10,f,2017-01-01,,2026-05-29 15:27:34.922068
13,8,10,f,2017-01-01,,2026-05-29 15:27:34.922068
14,9,11,f,2017-01-01,,2026-05-29 15:27:34.922068
15,10,11,f,2017-01-01,,2026-05-29 15:27:34.922068
16,11,1,t,2017-01-01,,2026-05-29 15:27:34.922068
17,11,3,t,2017-01-01,,2026-05-29 15:27:34.922068
18,11,7,t,2017-01-01,,2026-05-29 15:27:34.922068
19,11,6,t,2017-01-01,,2026-05-29 15:27:34.922068
20,11,9,t,2017-01-01,,2026-05-29 15:27:34.922068
21,12,10,f,2017-01-01,,2026-05-29 15:27:34.922068
22,13,2,t,2017-01-01,,2026-05-29 15:27:34.922068
23,13,3,t,2017-01-01,,2026-05-29 15:27:34.922068
24,13,5,t,2017-01-01,,2026-05-29 15:27:34.922068
25,13,4,t,2017-01-01,,2026-05-29 15:27:34.922068
26,13,10,t,2017-01-01,,2026-05-29 15:27:34.922068
27,13,14,t,2017-01-01,,2026-05-29 15:27:34.922068
28,14,5,t,2017-01-01,,2026-05-29 15:27:34.922068
29,14,6,t,2017-01-01,,2026-05-29 15:27:34.922068
30,14,8,t,2017-01-01,,2026-05-29 15:27:34.922068
31,15,2,f,2017-01-01,,2026-05-29 15:27:34.922068
32,16,5,t,2017-01-01,,2026-05-29 15:27:34.922068
33,16,11,t,2017-01-01,,2026-05-29 15:27:34.922068
34,17,3,t,2017-01-01,,2026-05-29 15:27:34.922068
35,17,5,t,2017-01-01,,2026-05-29 15:27:34.922068
36,18,5,f,2017-01-01,,2026-05-29 15:27:34.922068
37,19,10,f,2017-01-01,,2026-05-29 15:27:34.922068
38,20,2,f,2017-01-01,,2026-05-29 15:27:34.922068
39,21,3,t,2017-01-01,,2026-05-29 15:27:34.922068
40,21,5,t,2017-01-01,,2026-05-29 15:27:34.922068
41,22,8,t,2017-01-01,,2026-05-29 15:27:34.922068
42,22,13,t,2017-01-01,,2026-05-29 15:27:34.922068
43,23,2,t,2017-01-01,,2026-05-29 15:27:34.922068
44,23,7,t,2017-01-01,,2026-05-29 15:27:34.922068
45,23,12,t,2017-01-01,,2026-05-29 15:27:34.922068
46,24,10,f,2017-01-01,,2026-05-29 15:27:34.922068
47,25,11,f,2017-01-01,,2026-05-29 15:27:34.922068
48,26,11,f,2017-01-01,,2026-05-29 15:27:34.922068
49,27,5,t,2017-01-01,,2026-05-29 15:27:34.922068
50,27,6,t,2017-01-01,,2026-05-29 15:27:34.922068
51,28,10,f,2017-01-01,,2026-05-29 15:27:34.922068
52,29,5,t,2017-01-01,,2026-05-29 15:27:34.922068
53,29,6,t,2017-01-01,,2026-05-29 15:27:34.922068
54,30,2,f,2017-01-01,,2026-05-29 15:27:34.922068
55,31,10,f,2017-01-01,,2026-05-29 15:27:34.922068
56,32,11,f,2017-01-01,,2026-05-29 15:27:34.922068
57,33,10,f,2017-01-01,,2026-05-29 15:27:34.922068
58,34,3,t,2017-01-01,,2026-05-29 15:27:34.922068
59,34,5,t,2017-01-01,,2026-05-29 15:27:34.922068
60,35,7,f,2017-01-01,,2026-05-29 15:27:34.922068
61,36,9,f,2017-01-01,,2026-05-29 15:27:34.922068
62,37,10,f,2017-01-01,,2026-05-29 15:27:34.922068
63,38,2,f,2017-01-01,,2026-05-29 15:27:34.922068
64,39,1,t,2017-01-01,,2026-05-29 15:27:34.922068
65,39,3,t,2017-01-01,,2026-05-29 15:27:34.922068
66,39,5,t,2017-01-01,,2026-05-29 15:27:34.922068
67,39,10,t,2017-01-01,,2026-05-29 15:27:34.922068
68,40,9,f,2017-01-01,,2026-05-29 15:27:34.922068
69,41,2,f,2017-01-01,,2026-05-29 15:27:34.922068
70,42,5,f,2017-01-01,,2026-05-29 15:27:34.922068
71,43,9,f,2017-01-01,,2026-05-29 15:27:34.922068
72,44,10,f,2017-01-01,,2026-05-29 15:27:34.922068
73,45,10,f,2017-01-01,,2026-05-29 15:27:34.922068
74,46,10,f,2017-01-01,,2026-05-29 15:27:34.922068
75,47,11,f,2017-01-01,,2026-05-29 15:27:34.922068
76,48,10,f,2017-01-01,,2026-05-29 15:27:34.922068
77,49,10,f,2017-01-01,,2026-05-29 15:27:34.922068
78,50,11,f,2017-01-01,,2026-05-29 15:27:34.922068
79,51,9,f,2017-01-01,,2026-05-29 15:27:34.922068
80,52,5,f,2017-01-01,,2026-05-29 15:27:34.922068
81,53,5,f,2017-01-01,,2026-05-29 15:27:34.922068
82,54,2,f,2017-01-01,,2026-05-29 15:27:34.922068
83,55,7,f,2017-01-01,,2026-05-29 15:27:34.922068
84,56,2,t,2017-01-01,,2026-05-29 15:27:34.922068
85,56,5,t,2017-01-01,,2026-05-29 15:27:34.922068
86,56,12,t,2017-01-01,,2026-05-29 15:27:34.922068
87,57,5,t,2017-01-01,,2026-05-29 15:27:34.922068
